dmr_make,dmr_model,age_band,chapter,chapter_name,n_defects_2_3er,n_tests,defect_rate_per_test
OPEL,INSIGNIA,3,0,Identifikasjon av kjoretoyet (vehicle identification),13,3483,0.0037
MAZDA,CX-3,1,0,Identifikasjon av kjoretoyet (vehicle identification),4,2711,0.0015
NISSAN,JUKE,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,531,0.0019
MERCEDES-BENZ,C,1,0,Identifikasjon av kjoretoyet (vehicle identification),5,3637,0.0014
SKODA,RAPID SPACEBACK,3,0,Identifikasjon av kjoretoyet (vehicle identification),9,1667,0.0054
OPEL,ZAFIRA,4,0,Identifikasjon av kjoretoyet (vehicle identification),8,1175,0.0068
NISSAN,QASHQAI,3,0,Identifikasjon av kjoretoyet (vehicle identification),48,10874,0.0044
SUZUKI,SX4 COMBIBACK,1,0,Identifikasjon av kjoretoyet (vehicle identification),2,2054,0.001
SKODA,RAPID,2,0,Identifikasjon av kjoretoyet (vehicle identification),4,1389,0.0029
SUZUKI,SX4 S-Cross,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,2348,0.0004
HYUNDAI,i10 AC3,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,411,0.0
HYUNDAI,IX20,3,0,Identifikasjon av kjoretoyet (vehicle identification),6,1937,0.0031
CITROËN,C1,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,428,0.0023
BMW,X3,1,0,Identifikasjon av kjoretoyet (vehicle identification),5,2884,0.0017
SKODA,CITIGO,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,474,0.0021
HYUNDAI,I 10,4,0,Identifikasjon av kjoretoyet (vehicle identification),6,982,0.0061
RENAULT,MEGANE,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,326,0.0031
AUDI,A3 CABRIOLET,4,0,Identifikasjon av kjoretoyet (vehicle identification),1,166,0.006
AUDI,A3 Limousine,3,0,Identifikasjon av kjoretoyet (vehicle identification),3,391,0.0077
SEAT,LEON,4,0,Identifikasjon av kjoretoyet (vehicle identification),0,7,0.0
SKODA,KODIAQ,2,0,Identifikasjon av kjoretoyet (vehicle identification),4,2105,0.0019
CITROËN,C3 PICASSO,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,46,0.0
VOLVO,V90,1,0,Identifikasjon av kjoretoyet (vehicle identification),10,10928,0.0009
BMW,5-Serie,3,0,Identifikasjon av kjoretoyet (vehicle identification),50,8687,0.0058
MERCEDES-BENZ,B-Klasse,3,0,Identifikasjon av kjoretoyet (vehicle identification),14,4025,0.0035
VOLKSWAGEN,TIGUAN,3,0,Identifikasjon av kjoretoyet (vehicle identification),55,13669,0.004
KIA,Niro,1,0,Identifikasjon av kjoretoyet (vehicle identification),8,5432,0.0015
SKODA,OCTAVIA COMBI,1,0,Identifikasjon av kjoretoyet (vehicle identification),23,14749,0.0016
MERCEDES-BENZ,C,3,0,Identifikasjon av kjoretoyet (vehicle identification),27,6797,0.004
BMW,X3,3,0,Identifikasjon av kjoretoyet (vehicle identification),57,9399,0.0061
SKODA,FABIA COMBI,2,0,Identifikasjon av kjoretoyet (vehicle identification),2,3224,0.0006
