dmr_make,dmr_model,age_band,uk_n_all,uk_rate_all,no_n_all,no_rate_all,uk_n_mechanical,uk_rate_mechanical,no_n_mechanical,no_rate_mechanical,uk_n_consumable,uk_rate_consumable,no_n_consumable,no_rate_consumable
FORD,C-MAX,4,108658,0.5694,1034,0.3615,108658,0.7145,1034,0.5455,108658,0.7027,1034,0.6067
FORD,FIESTA,4,1153569,0.5387,7906,0.2516,1153569,0.6835,7906,0.42,1153569,0.6801,7906,0.5599
FORD,FIESTA 5 DØRS,4,1153569,0.5387,7906,0.2516,1153569,0.6835,7906,0.42,1153569,0.6801,7906,0.5599
FORD,FOCUS,4,852885,0.5803,12012,0.315,852885,0.7376,12012,0.5552,852885,0.694,12012,0.5343
FORD,FOCUS STATIONSVOGN,4,852885,0.5803,12012,0.315,852885,0.7376,12012,0.5552,852885,0.694,12012,0.5343
FORD,Focus,4,852885,0.5803,12012,0.315,852885,0.7376,12012,0.5552,852885,0.694,12012,0.5343
FORD,GALAXY,4,61056,0.5901,2069,0.2662,61056,0.7329,2069,0.4628,61056,0.7129,2069,0.4711
FORD,KA,4,178806,0.5142,449,0.2245,178806,0.6235,449,0.2808,178806,0.6996,449,0.4463
FORD,KUGA,4,74113,0.6229,5780,0.39,74113,0.7545,5780,0.6088,74113,0.747,5780,0.6263
FORD,MONDEO,4,233319,0.6152,15288,0.3527,233319,0.7474,15288,0.5441,233319,0.7373,15288,0.5857
FORD,MONDEO STATIONCAR,4,233319,0.6152,15288,0.3527,233319,0.7474,15288,0.5441,233319,0.7373,15288,0.5857
FORD,NY Focus,4,852885,0.5803,12012,0.315,852885,0.7376,12012,0.5552,852885,0.694,12012,0.5343
FORD,S-MAX,4,89876,0.6046,6314,0.3254,89876,0.7443,6314,0.4866,89876,0.7274,6314,0.5641
HONDA,CIVIC,4,312866,0.5791,2980,0.2891,312866,0.7512,2980,0.4973,312866,0.678,2980,0.4553
HONDA,CR-V,4,175768,0.6859,9204,0.423,175768,0.8072,9204,0.6573,175768,0.7898,9204,0.5364
HONDA,JAZZ,4,344192,0.5926,2120,0.3696,344192,0.7487,2120,0.4735,344192,0.7026,2120,0.5567
HYUNDAI,I 10,4,160250,0.5404,982,0.281,160250,0.7119,982,0.3682,160250,0.6567,982,0.585
HYUNDAI,I10,4,160250,0.5404,982,0.281,160250,0.7119,982,0.3682,160250,0.6567,982,0.585
HYUNDAI,I20,4,72068,0.5517,3876,0.3069,72068,0.7125,3876,0.4046,72068,0.6702,3876,0.5545
HYUNDAI,I30,4,82590,0.5227,3800,0.2783,82590,0.6745,3800,0.4236,82590,0.6548,3800,0.5305
HYUNDAI,I30CW,4,82590,0.5227,3800,0.2783,82590,0.6745,3800,0.4236,82590,0.6548,3800,0.5305
HYUNDAI,I40,4,1634,0.6068,753,0.2917,1634,0.7149,753,0.4428,1634,0.7926,753,0.6098
HYUNDAI,IX20,4,7129,0.5099,920,0.2674,7129,0.6496,920,0.3897,7129,0.663,920,0.5272
HYUNDAI,Tucson,4,12190,0.5608,317,0.3363,12190,0.6692,317,0.4734,12190,0.7333,317,0.5896
HYUNDAI,i10 AC3,4,160250,0.5404,982,0.281,160250,0.7119,982,0.3682,160250,0.6567,982,0.585
HYUNDAI,i30 Stc.,4,82590,0.5227,3800,0.2783,82590,0.6745,3800,0.4236,82590,0.6548,3800,0.5305
KIA,CEE'D SW,4,83056,0.5134,742,0.316,83056,0.6777,742,0.48,83056,0.6275,742,0.5444
KIA,CEED,4,83056,0.5134,742,0.316,83056,0.6777,742,0.48,83056,0.6275,742,0.5444
KIA,CEED SW,4,83056,0.5134,742,0.316,83056,0.6777,742,0.48,83056,0.6275,742,0.5444
KIA,PICANTO,4,125947,0.4832,652,0.1756,125947,0.5973,652,0.2732,125947,0.6764,652,0.519
KIA,RIO,4,58214,0.5146,248,0.3781,58214,0.6415,248,0.5194,58214,0.6826,248,0.6224
KIA,SPORTAGE,4,47231,0.5758,1242,0.3128,47231,0.6791,1242,0.4909,47231,0.7462,1242,0.6442
KIA,VENGA,4,14962,0.5231,668,0.3228,14962,0.6533,668,0.4401,14962,0.6741,668,0.5035
MAZDA,2,4,131257,0.5253,2075,0.2739,131257,0.6743,2075,0.4546,131257,0.6676,2075,0.5401
MAZDA,3,4,105080,0.5486,3328,0.3098,105080,0.6861,3328,0.5576,105080,0.6903,3328,0.545
MAZDA,MAZDA2,4,131257,0.5253,2075,0.2739,131257,0.6743,2075,0.4546,131257,0.6676,2075,0.5401
MAZDA,MAZDA3,4,105080,0.5486,3328,0.3098,105080,0.6861,3328,0.5576,105080,0.6903,3328,0.545
MAZDA,MAZDA6,4,57890,0.5881,4254,0.3115,57890,0.7267,4254,0.4876,57890,0.7167,4254,0.5306
MERCEDES-BENZ,A-Klasse,4,103039,0.5797,2238,0.2707,103039,0.7057,2238,0.4238,103039,0.7212,2238,0.6302
MERCEDES-BENZ,B-Klasse,4,60158,0.5716,4180,0.2731,60158,0.6877,4180,0.4222,60158,0.7198,4180,0.6127
MERCEDES-BENZ,C,4,240851,0.6552,7755,0.3384,240851,0.7478,7755,0.5303,240851,0.8029,7755,0.6829
MERCEDES-BENZ,C-Klasse,4,240851,0.6552,7755,0.3384,240851,0.7478,7755,0.5303,240851,0.8029,7755,0.6829
MERCEDES-BENZ,E,4,118523,0.7074,11198,0.4366,118523,0.7888,11198,0.5907,118523,0.8469,11198,0.7636
MERCEDES-BENZ,E-Klasse,4,118523,0.7074,11198,0.4366,118523,0.7888,11198,0.5907,118523,0.8469,11198,0.7636
MINI,COOPER,4,24334,0.6148,2672,0.2868,24334,0.777,2672,0.458,24334,0.7241,2672,0.5567
MITSUBISHI,ASX,4,7476,0.6558,5149,0.4245,7476,0.7442,5149,0.5278,7476,0.8103,5149,0.7132
MITSUBISHI,COLT,4,54530,0.5026,3136,0.2626,54530,0.6516,3136,0.4182,54530,0.6461,3136,0.4749
MITSUBISHI,OUTLANDER,4,20342,0.5871,10148,0.3063,20342,0.6773,10148,0.4244,20342,0.766,10148,0.5534
NISSAN,JUKE,4,49473,0.5347,753,0.3011,49473,0.6315,753,0.4132,49473,0.7336,753,0.6284
NISSAN,MICRA,4,238274,0.5316,662,0.2274,238274,0.7067,662,0.4606,238274,0.6419,662,0.4216
NISSAN,NOTE,4,209537,0.5278,1197,0.2759,209537,0.6974,1197,0.5989,209537,0.6516,1197,0.4952
NISSAN,QASHQAI,4,289849,0.4834,9029,0.2539,289849,0.5914,9029,0.4007,289849,0.6682,9029,0.5146
NISSAN,Qashqai J11A,4,289849,0.4834,9029,0.2539,289849,0.5914,9029,0.4007,289849,0.6682,9029,0.5146
NISSAN,X-TRAIL,4,47247,0.5661,3637,0.3326,47247,0.6445,3637,0.4695,47247,0.7686,3637,0.6164
OPEL,ASTRA,4,651650,0.5661,5454,0.3231,651650,0.6834,5454,0.4668,651650,0.7243,5454,0.6412
OPEL,ASTRA SPORTS TOURER,4,651650,0.5661,979,0.3779,651650,0.6834,979,0.5297,651650,0.7243,979,0.7072
OPEL,CORSA,4,728956,0.5239,3017,0.2336,728956,0.6725,3017,0.4048,728956,0.6705,3017,0.4956
OPEL,INSIGNIA,4,99155,0.6317,4475,0.4159,99155,0.7622,4475,0.6138,99155,0.7558,4475,0.6683
OPEL,MERIVA,4,110346,0.5145,1312,0.2943,110346,0.6389,1312,0.4054,110346,0.6751,1312,0.59
OPEL,ZAFIRA,4,218805,0.5457,1175,0.2693,218805,0.6701,1175,0.4359,218805,0.7006,1175,0.5386
PEUGEOT,107,4,193007,0.5361,1880,0.1728,193007,0.6703,1880,0.2277,193007,0.6922,1880,0.5035
PEUGEOT,206 +,4,37670,0.5014,143,0.1801,37670,0.6334,143,0.3837,37670,0.6545,143,0.4413
PEUGEOT,207,4,347582,0.4773,5486,0.2523,347582,0.617,5486,0.3823,347582,0.6311,5486,0.4787
PEUGEOT,208,4,3456,0.5544,267,0.3629,3456,0.6692,267,0.5118,3456,0.7218,267,0.6797
PEUGEOT,3008,4,38282,0.5085,4758,0.2777,38282,0.6598,4758,0.5179,38282,0.6458,4758,0.4674
PEUGEOT,308,4,123070,0.5164,4655,0.2762,123070,0.6514,4655,0.4151,123070,0.6741,4655,0.5812
PEUGEOT,5008,4,7859,0.5036,1845,0.2682,7859,0.6699,1845,0.4649,7859,0.6201,1845,0.4794
PEUGEOT,508,4,4780,0.6699,1566,0.4054,4780,0.8045,1566,0.6207,4780,0.7712,1566,0.6059
RENAULT,CLIO,4,307835,0.455,517,0.2376,307835,0.5949,517,0.3855,307835,0.6081,517,0.4315
RENAULT,MEGANE,4,141135,0.4894,1622,0.1824,141135,0.625,1622,0.3494,141135,0.6336,1622,0.4356
RENAULT,MEGANE SPORT TOURER,4,141135,0.4894,1622,0.1824,141135,0.625,1622,0.3494,141135,0.6336,1622,0.4356
RENAULT,Ny Clio,4,307835,0.455,517,0.2376,307835,0.5949,517,0.3855,307835,0.6081,517,0.4315
SKODA,FABIA,4,180813,0.5603,4252,0.2906,180813,0.6821,4252,0.4127,180813,0.7167,4252,0.5394
SKODA,FABIA COMBI,4,180813,0.5603,4252,0.2906,180813,0.6821,4252,0.4127,180813,0.7167,4252,0.5394
SKODA,OCTAVIA,4,114783,0.6336,12917,0.3275,114783,0.7379,12917,0.5675,114783,0.7788,12917,0.5321
SKODA,OCTAVIA COMBI,4,114783,0.6336,12917,0.3275,114783,0.7379,12917,0.5675,114783,0.7788,12917,0.5321
SKODA,SUPERB,4,14927,0.6542,3621,0.3373,14927,0.761,3621,0.6,14927,0.7949,3621,0.5883
SKODA,SUPERB COMBI,4,14927,0.6542,3621,0.3373,14927,0.761,3621,0.6,14927,0.7949,3621,0.5883
SUZUKI,ALTO,4,38922,0.5621,392,0.3082,38922,0.7155,392,0.3964,38922,0.6838,392,0.5713
SUZUKI,IGNIS,4,5671,0.5525,390,0.2586,5671,0.6543,390,0.4282,5671,0.737,390,0.4915
SUZUKI,SWIFT,4,110057,0.5205,4271,0.2837,110057,0.6321,4271,0.4206,110057,0.7022,4271,0.5502
SUZUKI,SX4,4,33729,0.5219,4809,0.3195,33729,0.6266,4809,0.4732,33729,0.7203,4809,0.5794
SUZUKI,SX4 COMBIBACK,4,33729,0.5219,4809,0.3195,33729,0.6266,4809,0.4732,33729,0.7203,4809,0.5794
TOYOTA,AURIS,4,149693,0.6114,14992,0.3404,149693,0.7748,14992,0.445,149693,0.7112,14992,0.5773
TOYOTA,AVENSIS,4,89398,0.6473,20526,0.3849,89398,0.8074,20526,0.5939,89398,0.7377,20526,0.553
TOYOTA,AVENSIS STW,4,89398,0.6473,20526,0.3849,89398,0.8074,20526,0.5939,89398,0.7377,20526,0.553
TOYOTA,AYGO,4,177427,0.5396,3007,0.228,177427,0.675,3007,0.3183,177427,0.6957,3007,0.5035
TOYOTA,AYGO 3/5-DØRS,4,177427,0.5396,3007,0.228,177427,0.675,3007,0.3183,177427,0.6957,3007,0.5035
TOYOTA,AYGO 5-DØRS,4,177427,0.5396,3007,0.228,177427,0.675,3007,0.3183,177427,0.6957,3007,0.5035
TOYOTA,COROLLA,4,62064,0.6356,4053,0.3468,62064,0.8224,4053,0.4599,62064,0.7087,4053,0.5456
TOYOTA,RAV4,4,36490,0.649,10666,0.4166,36490,0.7525,10666,0.5499,36490,0.7951,10666,0.6548
TOYOTA,RAV4 Plug in,4,36490,0.649,10666,0.4166,36490,0.7525,10666,0.5499,36490,0.7951,10666,0.6548
TOYOTA,VERSO,4,20896,0.644,2396,0.3547,20896,0.8159,2396,0.5107,20896,0.7273,2396,0.5397
TOYOTA,YARIS,4,342210,0.5856,12845,0.2741,342210,0.7382,12845,0.4096,342210,0.7078,12845,0.5124
TOYOTA,YARIS 5-DØRS,4,342210,0.5856,12845,0.2741,342210,0.7382,12845,0.4096,342210,0.7078,12845,0.5124
VOLKSWAGEN,CADDY,4,105036,0.6293,1082,0.3295,105036,0.7203,1082,0.5138,105036,0.7815,1082,0.6571
VOLKSWAGEN,GOLF,4,702042,0.6314,32682,0.3617,702042,0.733,32682,0.5425,702042,0.7791,32682,0.6807
VOLKSWAGEN,PASSAT,4,179641,0.654,15462,0.3582,179641,0.751,15462,0.5699,179641,0.8001,15462,0.6428
VOLKSWAGEN,PASSAT VARIANT,4,179641,0.654,15462,0.3582,179641,0.751,15462,0.5699,179641,0.8001,15462,0.6428
VOLKSWAGEN,POLO,4,453217,0.5252,11528,0.2835,453217,0.6443,11528,0.417,453217,0.6904,11528,0.5614
VOLKSWAGEN,TIGUAN,4,67681,0.6558,11058,0.4298,67681,0.741,11058,0.6709,67681,0.817,11058,0.7104
VOLKSWAGEN,TOURAN,4,89748,0.6157,10414,0.3694,89748,0.7176,10414,0.5784,89748,0.7755,10414,0.6367
VOLKSWAGEN,UP!,4,4818,0.6658,234,0.3556,4818,0.8002,234,0.4176,4818,0.7868,234,0.6526
VOLVO,V40,4,536,0.6095,243,0.4277,536,0.7317,243,0.61,536,0.7547,243,0.6646
VOLVO,V50,4,70312,0.5921,11296,0.3229,70312,0.716,11296,0.5712,70312,0.7336,11296,0.538
VOLVO,V60,4,5964,0.704,3752,0.5042,5964,0.8359,3752,0.6964,5964,0.8011,3752,0.7546
VOLVO,V70,4,49882,0.693,17685,0.4781,49882,0.8353,17685,0.6363,49882,0.7731,17685,0.682
VOLVO,XC60,4,29544,0.7172,9334,0.5516,29544,0.8251,9334,0.7862,29544,0.828,9334,0.7947
VOLVO,XC90,4,52865,0.6506,1825,0.414,52865,0.7846,1825,0.5381,52865,0.7548,1825,0.5812
