dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
KIA,VENGA,4,668,0.3817,0.3228,False,668,0.509,0.4401,False,668,0.6003,0.5035,False
KIA,XCeed,1,264,0.8788,,True,264,0.9167,,True,264,0.9735,,True
MAZDA,2,1,625,0.8768,,True,625,0.9264,,True,625,0.9712,,True
MAZDA,2,2,1120,0.7205,0.6754,False,1120,0.8777,0.8676,False,1120,0.942,0.9269,False
MAZDA,2,3,1899,0.5366,0.4417,False,1899,0.7425,0.6797,False,1899,0.772,0.6552,False
MAZDA,2,4,2075,0.3422,0.2739,False,2075,0.5301,0.4546,False,2075,0.6386,0.5401,False
MAZDA,3,1,1523,0.7682,0.747,False,1523,0.8437,0.8333,False,1523,0.9567,0.95,False
MAZDA,3,2,2010,0.6333,0.6234,False,2010,0.7736,0.7683,False,2010,0.9214,0.9114,False
MAZDA,3,3,2880,0.5535,0.5232,False,2880,0.7354,0.7144,False,2880,0.8299,0.8032,False
MAZDA,3,4,3328,0.3416,0.3098,False,3328,0.5892,0.5576,False,3328,0.5907,0.545,False
MAZDA,CX-3,1,2711,0.8181,0.8055,False,2711,0.862,0.8535,False,2711,0.955,0.9477,False
MAZDA,CX-3,2,5128,0.7553,0.7181,False,5128,0.8775,0.8658,False,5128,0.9212,0.895,False
MAZDA,CX-3,3,1002,0.6597,0.6149,False,1002,0.8463,0.8279,False,1002,0.8892,0.8576,False
MAZDA,CX-5,1,6042,0.7903,0.7938,False,6042,0.8388,0.8402,False,6042,0.9522,0.9537,False
MAZDA,CX-5,2,8955,0.6633,0.6766,False,8955,0.8097,0.8181,False,8955,0.8892,0.8947,False
MAZDA,CX-5,3,14518,0.544,0.56,False,14518,0.7075,0.7196,False,14518,0.8071,0.8181,False
