dmr_make,dmr_model,dk_vehicle_count,dk_sample_variants,proposed_dvsa_make,proposed_dvsa_model_token,uk_test_count,confidence,rule_fired,decision
RENAULT,MEGANE,9277,1.5 dCi ESM 110 Sport Tourer; E-TECH 160 Sport Tourer; 1.5 dCi ESM 110,RENAULT,MEGAN,46,high,name_similarity_firsttoken,
RENAULT,MEGANE,9277,1.5 dCi ESM 110 Sport Tourer; E-TECH 160 Sport Tourer; 1.5 dCi ESM 110,RENAULT,MAGANE,14,medium,name_similarity_firsttoken,
RENAULT,MEGANE,9277,1.5 dCi ESM 110 Sport Tourer; E-TECH 160 Sport Tourer; 1.5 dCi ESM 110,RENAULT,MEGANNE,9,high,name_similarity_firsttoken,
RENAULT,MEGANE,9277,1.5 dCi ESM 110 Sport Tourer; E-TECH 160 Sport Tourer; 1.5 dCi ESM 110,RENAULT,MAGAN,5,medium,name_similarity_firsttoken,
SEAT,LEON,9206,1.5 TSI ACT 150 Stationcar DSG7; 1.4 TSI 150 HK ACT 110 kw ST. CAR DSG7; 1.4 TSI ACT 150 Stationcar DSG7,SEAT,LEON,442771,exact,short_code_exact,
HYUNDAI,I30,9003,"1.6 CRDi 5 dørs Hatchback; 1,6 CRDI 90 ECO; 1.6 CRDi 5 dørs MPV",HYUNDAI,I30,264304,exact,code_exact,
SUZUKI,SX4 S-Cross,8987,"1,0 Boosterjet 5-dørs; 1,6 5-dørs; 1,4 Hybrid 5-dørs",SUZUKI,SX4,103026,high,name_similarity_firsttoken,
SUZUKI,SX4 S-Cross,8987,"1,0 Boosterjet 5-dørs; 1,6 5-dørs; 1,4 Hybrid 5-dørs",SUZUKI,SX,244,medium,name_similarity_firsttoken,
SUZUKI,SX4 S-Cross,8987,"1,0 Boosterjet 5-dørs; 1,6 5-dørs; 1,4 Hybrid 5-dørs",SUZUKI,SZ4,10,medium,name_similarity_firsttoken,
SUZUKI,SX4 S-Cross,8987,"1,0 Boosterjet 5-dørs; 1,6 5-dørs; 1,4 Hybrid 5-dørs",SUZUKI,SCROSS,3,medium,name_similarity_fullstring,
SUZUKI,SX4 S-Cross,8987,"1,0 Boosterjet 5-dørs; 1,6 5-dørs; 1,4 Hybrid 5-dørs",SUZUKI,SX4S_CROSS,1,medium,name_similarity_fullstring,
OPEL,KARL,8920,"1,0 75HK 5 dørs; 1,0 75HK 5 dørs Aut.",VAUXHALL,VIVA,87941,known-rename,Opel Karl is sold in the UK as the Vauxhall Viva; confirmed in Phase 2 strategy doc finding G.,
SUZUKI,BALENO,8873,"1,2 Dualjet 5-dørs; 1,2 Dualjet SHVS 5-dørs; 1,0 Boosterjet 5-dørs",SUZUKI,BALENO,16238,high,name_similarity_firsttoken,
